match_id,group,date_utc,venue,home_team,away_team,elo_home,elo_away,elo_diff,form_home_pts,form_away_pts,form_diff,weighted_form_home,weighted_form_away,gf_home_last_n,ga_home_last_n,gf_away_last_n,ga_away_last_n,attack_home,defense_home,attack_away,defense_away,neutral,tournament_weight,points_last_5_home,points_last_5_away,goal_diff_last_5_home,goal_diff_last_5_away,goals_for_last_5_home,goals_for_last_5_away,goals_against_last_5_home,goals_against_last_5_away,win_streak_home,win_streak_away,loss_streak_home,loss_streak_away,clean_sheet_rate_home,clean_sheet_rate_away,failed_to_score_rate_home,failed_to_score_rate_away,h2h_goal_diff,common_opponent_diff,experience_score_home,experience_score_away,avg_age_home,avg_age_away,market_value_proxy_home,market_value_proxy_away,top5_league_count_home,top5_league_count_away,goal_trend_home,goal_trend_away,form_consistency_home,form_consistency_away,attack_ratio_home,attack_ratio_away,elo_form_interaction,goals_per90_home,goals_per90_away,assists_per90_home,assists_per90_away,coach_win_rate_home,coach_win_rate_away,coach_wc_apps_home,coach_wc_apps_away,altitude_m,travel_km_diff,temp_celsius,upset_risk,upset_label
11,E,2026-06-14 23:00:00+00:00,"Lincoln Financial Field, Philadelphia",Côte d'Ivoire,Ecuador,1676.0,1933.0,-257.0,12.0,11.0,1.1481584014346904,12.803339578673425,11.655181177238735,12.0,4.0,9.0,3.0,1.3333,0.3704,0.7407,0.2593,1,4.0,12.0,11.0,8.0,6.0,12.0,9.0,4.0,3.0,3,2,0,0,0.6,0.4,0.0,0.0,0.0,0.2184,42,37,24.54,21.9,97.46,20.62,48.0,10.0,0.5,0.6,1.2,0.9798,3.7108,1.5746,-0.7377,0.1462,0.0622,0.1162,0.0415,0.45,0.5,0.0,0.0,5.0,-3553,27.0,0.5135,Orta
12,F,2026-06-15 02:00:00+00:00,"Estadio BBVA, Monterrey",Sweden,Tunisia,1719.0,1636.0,83.0,8.0,5.0,3.4304885913571406,7.137591902379192,3.7071033110220517,10.0,9.0,2.0,7.0,1.5926,1.0741,1.2222,0.7778,1,4.0,8.0,5.0,1.0,-5.0,10.0,2.0,9.0,7.0,0,0,0,2,0.0,0.4,0.0,0.6,-1.0,0.385,33,44,25.506410256410252,26.71,107.58538461538458,14.82,53.12820512820513,7.0,0.7,-0.9,1.2,1.0954,1.8143,1.041,0.7118,0.13285128205128205,0.082,0.09216666666666666,0.0546,0.48,0.44,0.0,0.0,538.0,940,28.0,0.4875,Orta
13,H,2026-06-15 16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta",Spain,Cabo Verde,2165.0,1549.0,616.0,9.0,5.0,4.432536729003187,9.564660379844895,5.132123650841708,9.0,4.0,7.0,9.0,1.963,0.7037,1.0,0.7037,1,4.0,9.0,5.0,5.0,-2.0,9.0,7.0,4.0,9.0,1,0,0,1,0.4,0.2,0.2,0.2,0.0,1.5691,38,37,24.93,24.0,838.99,2.0,419.0,1.0,-1.0,-0.2,0.9798,1.0954,2.4425,1.2442,6.8261,0.0993,0.0,0.0854,0.0,0.7,0.48,0.0,0.0,200.0,-2361,22.0,0.2755,Düşük
14,G,2026-06-15 19:00:00+00:00,"Lumen Field, Seattle",Belgium,Egypt,1867.0,1689.0,178.0,13.0,8.0,5.790837385954832,13.119621458123117,7.328784072168284,20.0,3.0,6.0,2.0,1.9259,0.8148,0.8889,0.5556,1,4.0,13.0,8.0,17.0,4.0,20.0,6.0,3.0,2.0,2,0,0,1,0.6,0.8,0.0,0.4,-0.6666666666666666,0.9527,36,44,25.31,27.25,116.92,10.12,58.0,4.0,0.3,-0.1,0.8,1.2,2.9376,0.9717,2.5769,0.0916,0.2121,0.0844,0.197,0.55,0.44,0.0,0.0,4.0,3043,17.0,0.4027,Düşük
15,H,2026-06-15 22:00:00+00:00,"Hard Rock Stadium, Miami",Saudi Arabia,Uruguay,1568.0,1892.0,-324.0,3.0,6.0,-0.5499878181348583,4.650330148440767,5.200317966575625,5.0,9.0,4.0,7.0,0.8148,0.9259,0.6296,0.6296,1,4.0,3.0,6.0,-4.0,-3.0,5.0,4.0,9.0,7.0,1,0,0,0,0.2,0.4,0.4,0.4,0.0,-1.4342,51,36,26.0,26.46,3.33,53.41,1.0,26.0,-0.2,-0.2,1.2,0.9798,1.1168,0.6137,0.4455,0.1333,0.1406,0.2667,0.0639,0.54,0.5,0.0,1.0,200.0,-2570,22.0,0.4039,Düşük
16,G,2026-06-16 01:00:00+00:00,"SoFi Stadium, Los Angeles",Iran,New Zealand,1760.0,1585.0,175.0,10.0,3.0,8.842264528344032,11.662832341159358,2.8205678128153266,11.0,3.0,4.0,10.0,1.3704,0.5556,1.5926,0.9259,1,4.0,10.0,3.0,8.0,-6.0,11.0,4.0,3.0,10.0,3,0,0,2,0.6,0.0,0.2,0.8,3.0,1.6337,35,30,25.506410256410252,33.0,107.58538461538458,5.0,53.12820512820513,1.0,0.5,0.1,1.2649,1.2,1.3358,2.4292,3.8685,0.13285128205128205,0.3,0.09216666666666666,0.0,0.45,0.38,0.0,0.0,37.0,-1400,22.0,0.4296,Düşük
17,J,2026-06-16 04:00:00+00:00,"Levi's Stadium, Santa Clara",Austria,Jordan,1827.0,1690.0,137.0,13.0,2.0,11.86315030773498,13.535559719115614,1.6724094113806343,10.0,2.0,7.0,13.0,1.6667,0.5556,1.1111,1.1111,1,4.0,13.0,2.0,8.0,-6.0,10.0,7.0,2.0,13.0,3,0,0,2,0.6,0.0,0.0,0.2,0.0,1.3236,35,49,27.13,28.0,61.11,4.44,30.0,1.0,-0.7,-0.3,0.8,0.4899,1.3762,1.6948,4.0631,0.1113,0.2439,0.1015,0.2439,0.57,0.48,0.0,0.0,7.0,-4642,22.0,0.461,Orta
18,I,2026-06-16 19:00:00+00:00,"MetLife Stadium, East Rutherford",France,Senegal,2081.0,1878.0,203.0,12.0,9.0,3.2253098086211125,11.37831923885377,8.153009430232657,12.0,6.0,8.0,7.0,1.6667,0.8148,1.7407,0.5556,1,4.0,12.0,9.0,6.0,1.0,12.0,8.0,6.0,7.0,1,0,0,1,0.0,0.4,0.0,0.2,-1.0,1.132,37,42,23.3,23.29,665.33,113.18,332.0,56.0,-0.1,-0.3,1.2,1.4697,2.5423,1.9028,1.6368,0.1327,0.1181,0.0997,0.0796,0.66,0.52,2.0,1.0,4.0,316,24.0,0.4106,Düşük
19,I,2026-06-16 22:00:00+00:00,"Gillette Stadium, Boston",Iraq,Norway,1607.0,1912.0,-305.0,7.0,8.0,0.16961768560578339,7.992358623441814,7.822740937836031,4.0,5.0,9.0,5.0,0.7778,0.7407,2.1852,0.6296,1,4.0,7.0,8.0,-1.0,4.0,4.0,9.0,5.0,5.0,0,0,0,0,0.2,0.2,0.4,0.2,0.0,-1.5071,40,32,25.506410256410252,24.76,107.58538461538458,69.48,53.12820512820513,34.0,-0.3,-1.3,1.3565,1.2,1.0661,2.5993,-0.1293,0.13285128205128205,0.1477,0.09216666666666666,0.1177,0.48,0.48,0.0,0.0,50.0,-3718,23.0,0.4964,Orta
20,J,2026-06-17 01:00:00+00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Argentina,Algeria,2113.0,1743.0,370.0,15.0,10.0,4.61111426209073,15.0,10.38888573790927,17.0,1.0,9.0,2.0,1.6296,0.3333,1.5556,0.4444,1,4.0,15.0,10.0,16.0,7.0,17.0,9.0,1.0,2.0,5,1,0,0,0.8,0.8,0.0,0.4,1.0,1.3944,35,46,25.35,26.5,163.44,49.37,81.0,24.0,1.1,-0.1,0.0,1.2649,2.9934,3.5901,4.2653,0.1445,0.1374,0.0891,0.1117,0.63,0.49,1.0,0.0,274.0,-891,27.0,0.3697,Düşük
