slot_name,actual_team
UEFA Playoff A,Bosnia and Herzegovina
UEFA Playoff B,Sweden
UEFA Playoff C,Turkey
UEFA Playoff D,Czechia
FIFA Playoff 1,DR Congo
FIFA Playoff 2,Iraq
