feature,shap_importance
common_opponent_diff,0.2833226439229801
experience_score_home,0.0735037188442262
neutral,0.06080470211909252
experience_score_away,0.05721812704638111
defense_home,0.05424390488871581
defense_away,0.053241896412596884
tournament_weight,0.05262962153913836
attack_home,0.043696832253417396
h2h_goal_diff,0.04232535531797743
form_diff,0.03631935410236343
goal_diff_last_5_away,0.034195468749298644
attack_away,0.029786553130269528
weighted_form_away,0.02950919397723073
attack_ratio_home,0.028231092120532385
goal_diff_last_5_home,0.026687271157977744
avg_age_home,0.024557403056832294
goals_against_last_5_away,0.02446488729662678
weighted_form_home,0.02220184426290349
goals_for_last_5_away,0.02215049108318838
market_value_proxy_away,0.021609968022279626
loss_streak_away,0.021129009432039075
attack_ratio_away,0.02046655434444053
goals_against_last_5_home,0.019450536321988076
goal_trend_away,0.01749862029470925
form_consistency_away,0.016313969468695757
goal_trend_home,0.01583297041399602
form_consistency_home,0.015405218470001791
market_value_proxy_home,0.01504999311833894
avg_age_away,0.014911023834134245
goals_for_last_5_home,0.014500656866440323
clean_sheet_rate_away,0.011859431744029201
win_streak_away,0.011640278232983121
elo_diff,0.010879907244919121
clean_sheet_rate_home,0.010758441128680988
loss_streak_home,0.009110157584664439
points_last_5_away,0.009067362576377079
points_last_5_home,0.00826899199990083
failed_to_score_rate_away,0.007836513227788272
elo_form_interaction,0.007734615711052773
top5_league_count_away,0.006030841095459964
failed_to_score_rate_home,0.0047260527816243595
win_streak_home,0.0039029619684259487
top5_league_count_home,0.0034619471424303127
